      DOY     hour   QmMean    QmMin    QmMax    QmMed    QmStd    QmIqr   QvMean    QvMin    QvMax    QvMed    QvStd    QvIqr   QbMean    QbMin    QbMax    QbMed    QbStd    QbIqr  AHFMean   AHFMin   AHFMax   AHFMed   AHFStd   AHFIqr
    1.000    0.000    0.228    0.005    0.302    0.302    0.117    0.191    0.161    0.004    0.213    0.213    0.082    0.135    9.285    0.205   12.347   12.286    4.751    7.895    9.678    0.786   12.862   12.801    4.947    8.188
    1.000    1.000    0.228    0.005    0.302    0.302    0.117    0.191    0.121    0.003    0.160    0.160    0.062    0.101    6.963    0.154    9.260    9.214    3.563    5.921    7.315    0.594    9.722    9.676    3.740    6.189
    1.000    2.000    0.228    0.005    0.302    0.302    0.117    0.191    0.121    0.003    0.160    0.160    0.062    0.101    6.963    0.154    9.260    9.214    3.563    5.921    7.315    0.594    9.722    9.676    3.740    6.189
    1.000    3.000    0.228    0.005    0.302    0.302    0.117    0.191    0.161    0.004    0.213    0.213    0.082    0.135    9.285    0.205   12.347   12.286    4.751    7.895    9.678    0.786   12.862   12.801    4.947    8.188
    1.000    4.000    0.228    0.005    0.302    0.302    0.117    0.191    0.242    0.005    0.320    0.320    0.124    0.203   13.927    0.308   18.521   18.429    7.127   11.842   14.403    1.170   19.142   19.051    7.363   12.187
    1.000    5.000    0.380    0.008    0.503    0.503    0.194    0.319    0.322    0.007    0.427    0.427    0.165    0.270   18.569    0.410   24.694   24.572    9.502   15.790   19.280    1.566   25.624   25.501    9.856   16.312
    1.000    6.000    0.532    0.012    0.704    0.704    0.272    0.446    0.403    0.009    0.533    0.533    0.206    0.338   23.211    0.513   30.868   30.715   11.878   19.737   24.157    1.962   32.105   31.952   12.349   20.438
    1.000    7.000    0.532    0.012    0.704    0.704    0.272    0.446    0.484    0.011    0.640    0.640    0.247    0.406   27.853    0.615   37.042   36.858   14.254   23.685   28.882    2.346   38.385   38.202   14.764   24.437
    1.000    8.000    0.532    0.012    0.704    0.704    0.272    0.446    0.564    0.012    0.747    0.747    0.289    0.473   32.495    0.718   43.215   43.001   16.629   27.632   33.607    2.729   44.666   44.451   17.180   28.435
    1.000    9.000    0.532    0.012    0.704    0.704    0.272    0.446    0.605    0.013    0.800    0.800    0.309    0.507   34.817    0.769   46.302   46.072   17.817   29.606   35.969    2.921   47.806   47.576   18.387   30.434
    1.000   10.000    0.532    0.012    0.704    0.704    0.272    0.446    0.645    0.014    0.853    0.853    0.330    0.541   37.138    0.820   49.389   49.144   19.005   31.580   38.332    3.113   50.946   50.701   19.595   32.434
    1.000   11.000    0.532    0.012    0.704    0.704    0.272    0.446    0.645    0.014    0.853    0.853    0.330    0.541   37.138    0.820   49.389   49.144   19.005   31.580   38.332    3.113   50.946   50.701   19.595   32.434
    1.000   12.000    0.532    0.012    0.704    0.704    0.272    0.446    0.645    0.014    0.853    0.853    0.330    0.541   37.138    0.820   49.389   49.144   19.005   31.580   38.332    3.113   50.946   50.701   19.595   32.434
    1.000   13.000    0.532    0.012    0.704    0.704    0.272    0.446    0.645    0.014    0.853    0.853    0.330    0.541   37.138    0.820   49.389   49.144   19.005   31.580   38.332    3.113   50.946   50.701   19.595   32.434
    1.000   14.000    0.532    0.012    0.704    0.704    0.272    0.446    0.605    0.013    0.800    0.800    0.309    0.507   34.817    0.769   46.302   46.072   17.817   29.606   35.969    2.921   47.806   47.576   18.387   30.434
    1.000   15.000    0.532    0.012    0.704    0.704    0.272    0.446    0.564    0.012    0.747    0.747    0.289    0.473   32.495    0.718   43.215   43.001   16.629   27.632   33.607    2.729   44.666   44.451   17.180   28.435
    1.000   16.000    0.532    0.012    0.704    0.704    0.272    0.446    0.484    0.011    0.640    0.640    0.247    0.406   27.853    0.615   37.042   36.858   14.254   23.685   28.882    2.346   38.385   38.202   14.764   24.437
    1.000   17.000    0.532    0.012    0.704    0.704    0.272    0.446    0.443    0.010    0.587    0.587    0.227    0.372   25.532    0.564   33.955   33.786   13.066   21.711   26.520    2.154   35.245   35.077   13.557   22.438
    1.000   18.000    0.532    0.012    0.704    0.704    0.272    0.446    0.403    0.009    0.533    0.533    0.206    0.338   23.211    0.513   30.868   30.715   11.878   19.737   24.157    1.962   32.105   31.952   12.349   20.438
    1.000   19.000    0.532    0.012    0.704    0.704    0.272    0.446    0.363    0.008    0.480    0.480    0.186    0.304   20.890    0.462   27.781   27.643   10.690   17.764   21.795    1.770   28.965   28.827   11.141   18.439
    1.000   20.000    0.532    0.012    0.704    0.704    0.272    0.446    0.322    0.007    0.427    0.427    0.165    0.270   18.569    0.410   24.694   24.572    9.502   15.790   19.432    1.578   25.825   25.702    9.934   16.440
    1.000   21.000    0.380    0.008    0.503    0.503    0.194    0.319    0.282    0.006    0.373    0.373    0.144    0.237   16.248    0.359   21.608   21.500    8.315   13.816   16.918    1.374   22.484   22.376    8.648   14.313
    1.000   22.000    0.228    0.005    0.302    0.302    0.117    0.191    0.242    0.005    0.320    0.320    0.124    0.203   13.927    0.308   18.521   18.429    7.127   11.842   14.403    1.170   19.142   19.051    7.363   12.187
    1.000   23.000    0.228    0.005    0.302    0.302    0.117    0.191    0.201    0.004    0.267    0.267    0.103    0.169   11.605    0.256   15.434   15.357    5.939    9.869   12.040    0.978   16.002   15.926    6.155   10.187
